ID,Source,Sentimen,Kategori,Komentar
161,Play Store,Netral,Uncategorized,pelayanan harap di tingkatkan .
167,Play Store,Netral,Uncategorized,memudahkan aktivitas transaksi
178,Play Store,Netral,Uncategorized,rekomen
180,Play Store,Netral,Uncategorized,mantaff
198,Play Store,Netral,Uncategorized,mudah digunakan
3,Play Store,Positif,Uncategorized,sangat baik
5,Play Store,Positif,Uncategorized,sangat membantu
13,Play Store,Positif,Uncategorized,BNI mobile banking sangat membantu saya dalam urusan transaksi
14,Play Store,Positif,Uncategorized,mantap
27,Play Store,Positif,Uncategorized,sngat baik
36,Play Store,Positif,Uncategorized,baik
41,Play Store,Positif,Uncategorized,saya suka apk ini
50,Play Store,Positif,Uncategorized,baik
54,Play Store,Positif,Uncategorized,"Langkah yg pasti n positive memang sangat perlu di pelihara dan di tingkatkan..., Bravo"
58,Play Store,Positif,Uncategorized,"harus punya pulsa dulu biar bisa tarik tunai tanpa kartu, padahal tetangga cuma masukin nomor hp sama kode tarik tunai, ga perlu pulsa buat dapetin kode otp jaman sekarang orang² udah sedikit yg beli pulsa reguler selebihnya oke"
63,Play Store,Positif,Uncategorized,mantap
66,Play Store,Positif,Uncategorized,"app yg nguji kesabaran,,utk makan uang nasabah cepat,,klo ada nasabah perlu lemot..."
67,Play Store,Positif,Uncategorized,👍👍👍
68,Play Store,Positif,Uncategorized,thanks bni👍👍👍
75,Play Store,Positif,Uncategorized,mantap
85,Play Store,Positif,Uncategorized,Wondr di buka susah alias Lola..beda jauh sama M banking sebelumnya lebih cepat lebih cepat dan mudah
92,Play Store,Positif,Uncategorized,aplikasi yang mudah di gunakan dalam berbagai transaksi dan tampilan yang sangat bagus untuk kalangan milenial dan mudah di pahami. Best
94,Play Store,Positif,Uncategorized,"mantap semoga Allah SWT selalu lindungan orang "" yang beriman dan bertakwa kepada Allah SWT"
97,Play Store,Positif,Uncategorized,sangat membantu
98,Play Store,Positif,Uncategorized,"kalau mau buat aplikasi itu sempurnakan dulu baru dirilis. setiap buka aplikasi loading lama banget, terus pake dibilang GK ada jaringan, buka YouTube dll aja lancar. kalau gaji GK melalui bank ini aja udah males banget pake ini wondr. masih enak pake aplikasi yg lama lebih oke."
118,Play Store,Positif,Uncategorized,sangat membantu transaksi saya.
121,Play Store,Positif,Uncategorized,Sangat praktis dan sangat membantu
125,Play Store,Positif,Uncategorized,bagus
127,Play Store,Positif,Uncategorized,mantap
131,Play Store,Positif,Uncategorized,sangat membantu sekali.
135,Play Store,Positif,Uncategorized,puas bnget bisa tau uang kita
136,Play Store,Positif,Uncategorized,paling menarik ini aku suka
137,Play Store,Positif,Uncategorized,terimakasih sudah memberikan kelonggaran.saat mendapatar.seneng sekali Terbaik Wondr by Bni
146,Play Store,Positif,Uncategorized,suka eng bisah
149,Play Store,Positif,Uncategorized,sangat membantu. dan menambah pengalaman
150,Play Store,Positif,Uncategorized,sangat nyaman lebih mudah dan praktis ada pertanyaan kalau gagal login tidak tersambung ke internet gimana cara memperbaiki terima kasih
152,Play Store,Positif,Uncategorized,"cukup stabil, buat transaksi di atas jam 12.00 dini hari"
156,Play Store,Positif,Uncategorized,sangat bagus
160,Play Store,Positif,Uncategorized,bagus banget
164,Play Store,Positif,Uncategorized,mantap.. mempermudah
166,Play Store,Positif,Uncategorized,bagus
176,Play Store,Positif,Uncategorized,BNI/ wonder by BNIluar biasa cepat dan mudah
195,Play Store,Positif,Uncategorized,bagus
196,Play Store,Positif,Uncategorized,bagus
